Place_id,Title,Description,Category,Distance (Km.),Rating,Expense (Per Head in Rs.),n_days,Boarding_pt
TD-1,Radhanagar Beach - Havelock Island,"from Port Blair Central Bus Stand (road + ferry) and 11 km from Havelock Ferry Ghat, Radhanagar Beach, also known as Beach #7, is situated on the south coast of Havelock Island and is the most famous Andaman Beach. Radhanagar Beach is counted among the top 10 beautiful beaches of Asia and among best beaches in the world by Time Magazine.The most visited place in Andamans, Radhanagar is a long white sandy beach that sprawls across 2 km length and an average width of 30 to 40 m. Known for its picturesque sunset, white sand and turquoise blue waters, the beach is a very popular hub lying on the western coast of Havelock Island. The sand is white and very fine in grain. The lush and verdant trees on the side of beach offer tourists an opportunity to unwind and relish the serenity and nature's charm. The breathtaking sight of sunset on this beach makes the tourists forget all the woes of life.Due to its reputation and popularity one would expect large crowd .....
", Beach,65.0,4.21,1304,2, Port Blair
TD-2,Elephant Beach - Havelock Island,"from Port Blair Central Bus Stand (road + ferry) and 11 km from Havelock Ferry Ghat, Radhanagar Beach, also known as Beach #7, is situated on the south coast of Havelock Island and is the most famous Andaman Beach. Radhanagar Beach is counted among the top 10 beautiful beaches of Asia and among best beaches in the world by Time Magazine.The most visited place in Andamans, Radhanagar is a long white sandy beach that sprawls across 2 km length and an average width of 30 to 40 m. Known for its picturesque sunset, white sand and turquoise blue waters, the beach is a very popular hub lying on the western coast of Havelock Island. The sand is white and very fine in grain. The lush and verdant trees on the side of beach offer tourists an opportunity to unwind and relish the serenity and nature's charm. The breathtaking sight of sunset on this beach makes the tourists forget all the woes of life.Due to its reputation and popularity one would expect large crowd .....
", Beach,65.0,4.31,952,1, Port Blair
TD-3,Cellular Jail - Port Blair,"from Port Blair Central Bus Stand (road + ferry) and 10 km from Havelock Ferry Ghat, Elephant Beach is the most secluded beach and also one of the most popular beaches in Havelock Island for day trips. This is one of most popular places of Andaman Tourism.Elephant Beach is an ideal site for snorkeling. It has a rich coral reef formation and amazing underwater marine life. The corals here remain one of the best on the island with the reef being close to the shore, making this an excellent spot for snorkeling. The beach is also famous for water sports activities like jetski, scuba diving and underwater sea walk. Glass bottom boats are available to watch the coral reefs through these boats. The shoreline of the Elephant Beach was largely swept by the 2004 Tsunami. One can reach Elephant Beach by small cruise boat from Havelock Jetty in about 30 minutes. By road one can go up to the Forest Camp which is 8 km from the Jetty towards Radhanagar Beach and from .....
", Adventure,65.0,3.44,717,1, Port Blair
TD-4,Mahatma Gandhi Marine National Park," from Port Blair Central Bus Stand, the Cellular Jail, also known as Kala Pani, was a colonial prison located at Port Blair in the Andaman & Nicobar Islands. The prison was known to house many notable Indian activists during the struggle for India's independence. Today, the complex serves as a national memorial monument and also one of the top places to visit in Port Blair.The construction of the Cellular Jail was started by the British in 1896 and was completed in 1906. The penal settlement was established in Andamans by the British after the First War of Independence in 1857. It was the beginning of the agonizing story of freedom fighters in the massive and awful jails at Viper Island followed by the Cellular Jail. The prison was used by the British especially to exile political prisoners to the remote archipelago. Many notable freedom fighters such as Batukeshwar Dutt, Bhagat Singh and Veer Savarkar, among others, were imprisoned here during the struggle .....
", Heritage,1.0,4.0,1324,2, from Port Blai
TD-5,Chidiya Tapu - Port Blair,"from Port Blair, Mahatma Gandhi Marine National Park, also known as Wandoor National Park, is a national park located near Wandoor in South Andaman district of Andaman & Nicobar Islands. This is one of the best places to visit in Andaman Tour and also one of the famous tourist places near Port Blair.The National Park was established in the year 1983 under the Wildlife Protection Act of 1972 to protect marine life such as the corals and nesting sea turtles prevalent in the area. Sprawling over an area of 281 sq. km, the landscape of the park is dotted with 15 rocky islands and is covered with tropical forest.The national park is famous for its rich collection of coral reefs, which include leptoseris, tubipora, gorgonians, porites, acropora, fungia, pocillopora and montipora. The marine life of this national park includes starfish, sharks, coral reefs, fishes and turtles. In addition, it also comprises sea anemones, shells, salt water crocodiles and .....
", Beach,25.0,3.15,987,2, Port Blair
TD-6,Ross Island - Port Blair,"from Port Blair Central Bus Stand, Chidiya Tapu, also known as 'Bird Island', is the southernmost tip of South Andaman Island. This is one of the top places to visit in Andaman & Nicobar Islands.Chidiya Tapu is a small village with lush green mangroves and tranquil islands. It is famous for bird watching, sunset view, panoramic scenic beauties, and many colours of oceanic view. The area is filled with around 46 species of birds namely, drongos, hanging parrot, scarlet minivet, emerald dove, long-tailed and red-breasted parakeets, white-bellied sea eagles and grey-fronted and imperial green pigeons to name a few. Popularly known as Sunset Point, Chidiya Tapu is one of the best places to see the sunset in Port Blair, the main hub of the Andaman Islands. The main attractions here include the Chidiya Tapu Biological Park, Chidiya Tapu Beach, the Sylvan Sands and the Munda Pahad beaches. There is also a forest guest house at the top of the hillock that provides .....
", Beach,25.0,3.38,1496,2, Port Blair
TD-7,Bharatpur Beach - Neil Island,"from Port Blair Central Bus Stand, Chidiya Tapu, also known as 'Bird Island', is the southernmost tip of South Andaman Island. This is one of the top places to visit in Andaman & Nicobar Islands.Chidiya Tapu is a small village with lush green mangroves and tranquil islands. It is famous for bird watching, sunset view, panoramic scenic beauties, and many colours of oceanic view. The area is filled with around 46 species of birds namely, drongos, hanging parrot, scarlet minivet, emerald dove, long-tailed and red-breasted parakeets, white-bellied sea eagles and grey-fronted and imperial green pigeons to name a few. Popularly known as Sunset Point, Chidiya Tapu is one of the best places to see the sunset in Port Blair, the main hub of the Andaman Islands. The main attractions here include the Chidiya Tapu Biological Park, Chidiya Tapu Beach, the Sylvan Sands and the Munda Pahad beaches. There is also a forest guest house at the top of the hillock that provides .....
", Beach,25.0,4.6,1268,2, Port Blair
TD-8,Laxmanpur Beach - Neil Island,"rom Port Blair, Ross Island is a small island situated in the South Andaman district of the Andaman & Nicobar Islands. Now, the island is under the control of the Indian Navy and also one of the famous places to visit in Andaman tour.The name of the island was derived from the name of a marine surveyor, Sir Daniel Ross. In 1857, the British took possession of three islands around Port Blair and Ross Island was one of them. This small Ross Island served as the capital of the Andaman Islands from 1858 to 1941 under the British rule. An earthquake in 1941 shook the island and huge buildings collapsed due to the natural calamity. After that, the British shifted their capital to Port Blair, near Ross Island. From 1942 to 1945, the island was under the occupation of Japanese. The British reoccupied the island in 1945 and later abandoned it.The island presently houses the ruins of old buildings like Ballroom, Chief Commissioner's House, Church, Hospital, Bakery, .....
", Heritage,3.0,4.24,1302,2,rom Port Blair
TD-9,Water Sports Complex - Port Blair,"from Port Blair, Bharatpur Beach is beautiful beach situated beside Neil Jetty in Neil Island. This is one of the best beach in Neil Island and also one of the popular beaches in Andaman & Nicobar Islands.Bharatpur Beach is a serene, calm and white sandy beach. It is well known for its coral reef which is undoubtedly beautiful in Andamans. Another attraction of this beach is the beautiful lush green vegetation and fishes. This is the only place in Neil Island where water sports are being conducted. This beach is ideally recommended for youngsters because of activity options.The beach is popular for activities like coral watching and swimming. One can hire glass-bottom boats for viewing the corals under water. Most of the tourists visit this beach in the morning hours and do snorkeling as in the evening they get to watch the sunset at Laxmanpur Beach. This vast sandy stretch and gently curving bay allows for a perfect swim. The water is so shallow that .....
", Adventure,37.0,4.47,1150,1, Port Blair
TD-10,Sea Walk - Havelock Island,"rom Neil Jetty and 39 km from Port Blair, Laxmanpur Beach is situated at Laxmanpur Village of Neil Island in Andaman & Nicobar Islands. This is one of the best beach in Neil Island and also one of the top attractions you must include in Honeymoon tour.Laxmanpur Beach is a beautiful and white sandy beach. The beach is a broad spur of white shell sand with shallow water and offers a good snorkeling option. Sunbathing and swimming are other activities. The beach also gives an impressive sunset view. Corals and sea shells are found in abundance at this seafront, which are often collected as souvenirs by visitors. The sea is shallow and calm, making it perfect for swimming and snorkeling. This serene beach offers a stunning panorama, especially when the sun sets in the horizon and will be decently crowded during sun sets. There is natural bridge popularly called as Howrah Bridge in Laxmmanpur Beach .....
", Adventure,2.0,3.18,706,2,rom Neil Jetty 
TD-11,Scuba Diving & Snorkeling - Havelock Island,"rom Port Blair Central Bus Stand, Andaman Water Sports Complex, also known as Rajiv Gandhi Water Sports Complex, is a famous sports complex located near the Cellular Jail in the north-west part of Port Blair.Andaman Water Sports Complex is a well-known sports complex in India. The unique sports complex offers many adventurous water sports activities like sail boats, para sailing, water scooters, rowing boats, kayaks, paddle boats, and water skiing etc. that will surely be a comfortable as well as enjoyable experience to the tourists.Outboard boat facilities make this complex dynamic in the afternoon. Travellers could boat up to Ross Islands from this complex, which is really an exciting experience. Besides the water activities for all age groups, the monument commemorating the Battle of Aberdeen can be seen within the complex structures. There is an artificial waterfall as well, which is a great attraction among the visitors. A children park and Marina .....
", Adventure,1.0,3.9,877,2,rom Port Blair 
TD-12,Scuba Diving & Snorkeling - Neil Island,"rom Port Blair Central Bus Stand, Andaman Water Sports Complex, also known as Rajiv Gandhi Water Sports Complex, is a famous sports complex located near the Cellular Jail in the north-west part of Port Blair.Andaman Water Sports Complex is a well-known sports complex in India. The unique sports complex offers many adventurous water sports activities like sail boats, para sailing, water scooters, rowing boats, kayaks, paddle boats, and water skiing etc. that will surely be a comfortable as well as enjoyable experience to the tourists.Outboard boat facilities make this complex dynamic in the afternoon. Travellers could boat up to Ross Islands from this complex, which is really an exciting experience. Besides the water activities for all age groups, the monument commemorating the Battle of Aberdeen can be seen within the complex structures. There is an artificial waterfall as well, which is a great attraction among the visitors. A children park and Marina .....
", Adventure,1.0,3.56,1361,1,rom Port Blair 
TD-13,Samudrika Marine Museum - Port Blair,"the most unique attractions that one must experience when visiting Andaman Islands. This is one of the best ways to experience underwater marine life. Visitors can enjoy a secure and exciting underwater walk on the sea bed (about 6-7m depth), and witness direct the magnificent marine life in Andamans. Sea Walking is one of the easiest ways to explore the underwater world at Elephant Beach in Havelock Island. Underwater Sea Walking is the safest underwater fun for the whole family. Anyone can enjoy the Sea Walk from 7 to 70 years. The Sea Walk does not require any knowledge of swimming or diving. Qualified experienced guides will accompany the sea walkers. The best part of Sea Walk is that it is very convenient and comfortable to undertake. There is no ear pressure as one has to adjust a transparent helmet kind of an apparatus on the head and that saves from the tremendous water pressure of the under current. There is a constant supply of fresh air pumped .....
", Adventure,,4.32,1355,1,the most unique
