Place_id,Title,Description,Category,Distance (Km.),Rating,Expense (Per Head in Rs.),n_days,Boarding_pt
TD-1,Red Fort,"rom New Delhi Railway Station, The Red Fort or the Lal Qila is one of the best historical places in Delhi situated on the western bank of the River Yamuna. This grand fort is a UNESCO World Heritage Site in Delhi, from where the prime minister addresses the nation every year on Independence Day (15 August). It is located in the center of Delhi and houses a number of museums. It is one of the best places to visit in Delhi and also one of the top attractions you must include in Golden Triangle tour.The Red Fort was built by Shah Jahan between 1638 and 1648. The Fort was built when Shah Jahan transferred his capital from Agra to Delhi. The fort is better planned than the Agra Fort and was the residence of the Mughal emperor of India for nearly 200 years, until 1857. It was originally called as Quila-i-Mubarak, meaning the blessed fort, as it was the royal .....
", Heritage,4,3.57,1186,2,rom New Delhi R
TD-2,Qutub Minar,"rom New Delhi Railway Station, The Red Fort or the Lal Qila is one of the best historical places in Delhi situated on the western bank of the River Yamuna. This grand fort is a UNESCO World Heritage Site in Delhi, from where the prime minister addresses the nation every year on Independence Day (15 August). It is located in the center of Delhi and houses a number of museums. It is one of the best places to visit in Delhi and also one of the top attractions you must include in Golden Triangle tour.The Red Fort was built by Shah Jahan between 1638 and 1648. The Fort was built when Shah Jahan transferred his capital from Agra to Delhi. The fort is better planned than the Agra Fort and was the residence of the Mughal emperor of India for nearly 200 years, until 1857. It was originally called as Quila-i-Mubarak, meaning the blessed fort, as it was the royal .....
", Heritage,4,3.52,748,1,rom New Delhi R
TD-3,Humayun's Tomb,"from New Delhi Railway Station, Qutub Minar is the magnificent tower of victory stands in the Qutub Complex located at Aurabindo Marg near Mehrauli in Delhi. Qutub is the highest tower in India and is an UNESCO World Heritage Site. It is among the must visit Delhi tourist places and one of the best heritage sites in Delhi city. It is also commonly featured in the promotion of Delhi Tourism.Qutub-ud-Din Aibak laid the foundation of Minar in 1199 AD for the use of the Mu'zzin (crier) to give calls for prayer and raised the first storey, to which three more storeys were added by his successor and son-in-law, Shamsud-Din Iltutmish (AD 1211-36). Numerous inscriptions in Arabic and Nagari characters in different places of the Minar reveal the history of Delhi. According to the inscriptions on its surface it was repaired by Firoz Shah Tughlaq (AD 1351-88) and Sikandar Lodi (AD 1489-1517). Major R. Smith also repaired and restored the Minar in 1829.It is an .....
", Heritage,15,3.59,782,2, New Delhi
TD-4,Jantar Mantar,"rom New Delhi Railway Station and 3 km from Hazrat Nizamuddin Station, Humayun's Tomb is one of the prime tourist places to visit in Delhi and one of the top historical places in Delhi city. The tomb is an UNESCO World Heritage Site. It is the final resting place of Humayun, the second Mughal Emperor and father of Akbar.The construction of this tomb was commissioned by Humayun's wife, Hamida Banu Begum or Haji Begum in 1562. It was designed by Mirak Mirza Ghiyath, a Persian architect. Humayun's tomb was based on Gur-e Amir, the tomb of Mughal ancestor Timur in Samarkand. The tomb was completed in 1572 AD and is believed to have costed 15 lakh rupees at the time of its completion. The entire structure is built using red sandstone.Humayun's tomb is a fine specimen of the great Mughal architecture, which was inspired by Persian architecture. The tomb was the first garden-tomb on the Indian subcontinent. Its unique beauty is said to have inspired several .....
", Heritage,8,4.28,550,1,rom New Delhi R
TD-5,Akshardham Temple / Swaminarayan Temple,"rom Delhi Junction Railway Station, Jantar Mantar is one of the best historical places in Delhi situated in Parliament Street near Connaught Place. Jantar Mantar was declared a national monument in 1948. The Jantar Mantar is among the best places to visit in Delhi and is a great place for astronomy lovers.Jantar Mantar, also known as the Delhi Observatory was built in 1724 AD. It is one of five astronomical observatories in India that was designed by Maharaja Sawai Jai Singh II of Jaipur. The other four observatories are situated at Jaipur, Varanasi, Ujjain and Mathura. The essential purpose of the Jantar Mantar was to accumulate astronomical tables which in turn would help predict the time and movement of the celestial bodies such as the sun, moon and other planets. The task was given to Raja Jai Singh by the Mughal emperor Muhammad Shah. It houses .....
", Heritage,3,3.57,1070,1,rom Delhi Junct
TD-6,Lotus Temple / Bahai Temple,"from New Delhi Railway Station, Akshardham Temple or Swaminarayan Temple is located on the banks of River Yamuna near Nizamuddin Bridge in Delhi. The temple is included in the list of Seven Wonders of the 21st Century by the prestigious Reader's Digest magazine. It is one of best built temples in India and among must visit tourist places in Delhi. It also has been listed in the 2009 edition of the Guinness World Records book as the largest Hindu temple in the world. Akshardham Temple is dedicated to Lord Swaminarayan. Akshardham means the adobe of the supreme lord and the temple is a fine example of the Hindu architecture. The complex is the second Akshardham complex in the country after the one at Gandhinagar in Gujarat.The building was inspired and moderated by Pramukh Swami Maharaj who was the spiritual leader BAPS community. It was inaugurated in November 2005 by the President, Dr. APJ Abdul Kalam.Spread over 100 acres, the temple complex is .....
", Heritage,10,3.97,1065,1, New Delhi
TD-7,Jama Masjid,"from New Delhi Railway Station, Akshardham Temple or Swaminarayan Temple is located on the banks of River Yamuna near Nizamuddin Bridge in Delhi. The temple is included in the list of Seven Wonders of the 21st Century by the prestigious Reader's Digest magazine. It is one of best built temples in India and among must visit tourist places in Delhi. It also has been listed in the 2009 edition of the Guinness World Records book as the largest Hindu temple in the world. Akshardham Temple is dedicated to Lord Swaminarayan. Akshardham means the adobe of the supreme lord and the temple is a fine example of the Hindu architecture. The complex is the second Akshardham complex in the country after the one at Gandhinagar in Gujarat.The building was inspired and moderated by Pramukh Swami Maharaj who was the spiritual leader BAPS community. It was inaugurated in November 2005 by the President, Dr. APJ Abdul Kalam.Spread over 100 acres, the temple complex is .....
", Heritage,10,4.43,646,2, New Delhi
TD-8,Raj Ghat,"from New Delhi Railway Station 2.5 km from Okhla Railway Station, The Lotus Temple is located at Bahapur Hill. Also called Bahai Temple or the Bahai House of worship, the Lotus Temple is one of the major landmarks and among the most visited places of sightseeing in Delhi. Lotus Temple was found by the believers of the Bahai Faith, an independent world religion, which was founded by Baha'ullah. This temple is an ideal place of meditation which is open to all other faiths. Lotus Temple is so named because of the lotus like structure of the temple. It is one of seven Bahai Houses of Worship in the world and is one of the most visited sites in the world with an average of three and a half million visitors each year.The temple was designed by Fariborz Shaba, a Canadian architect of Iranian origin. He took 10 years in designing the structure. The construction of the building began in 1980 and was completed in 1986 at a cost of Rs. 10 million and was opened .....
 ", Pilgrimage,15,3.47,1149,1, New Delhi
TD-9,Safdarjung Tomb," from New Delhi Railway Station, Jama Masjid or Masjid-i-jahan-Numa is located in the center of old Delhi near the famous Red Fort. This is one of the largest mosques in India and one of the last monuments built by Mughal Emperor Shah Jahan. It is one of the top places to visit in Delhi city and also among the top historical sites in Delhi.Jama Masjid was commissioned by Shah Jahan between 1644 and 1656 at a cost of 1 million rupees. This mosque was constructed with the efforts of more than 5,000 workers. The Masjid was completed under the supervision of Saadullah Khan, the Prime Minister of Shah Jahan and was inaugurated by an imam from Bukhara, present-day Uzbekistan. After the British victory in Revolt of 1857, they occupied the mosque and stationed their soldiers here.The mosque has three large gates, four towers and two 40 m high minarets constructed using red sandstone and white marble. The mosque is built on a red sandstone porch, which is about .....
", Heritage,3,3.7,975,2, from New Delhi
TD-10,India Gate,"rom New Delhi Railway Station, Raj Ghat is a memorial dedicated to the Father of the Nation, Mahatma Gandhi located on the banks of Yamuna River in Old Delhi. Raj Ghat is the last resting place of Mahatma Gandhi. The cremation of Mahatma Gandhi took place at the Raj Ghat on 31st January 1948, a day after his assassination. The memorial was designed by Vanu G. Bhuta, who intended it to reflect the simplicity of the Mahatma's life. It has won several awards for its architectural design.The memorial stone of Mahatma Gandhi placed on a simple square platform made of black stone, with the words Hey Ram inscribed on it. It is left open to the sky while an eternal flame burns perpetually at one end. The road on which it is located is also known as the Mahatma Gandhi Road. It is situated amidst a well maintained garden with fountains and numerous trees that give the area a serene atmosphere. Near the memorial, there are labeled trees planted by visiting .....
", Heritage,5,4.86,1034,2,rom New Delhi R
