Place_id,Title,Description,Category,Distance (Km.),Rating,Expense (Per Head in Rs.),n_days,Boarding_pt
TD-1,Calangute Beach,"from Panjim Kadamba Bus Stand, 10 km from Mapusa and 41 km from Vasco Da Gama Railway Station, Calangute Beach is the largest Beach in North Goa and one of the best tourist Places to visit in Goa. The beach is often represented in promotion of Goa Tourism. Calangute Beach is another popular attraction not to miss in a Goa tour packages.Calangute is also called the 'Queen of beaches' in Goa and among the best beaches in Goa. As stories go on, hippies had discovered this beach during the 60's so is it famous since then. Calangute along with Candolim, Baga and Anjuna form part of stretch of beach extending from just outside Panaji city to Fort Aguada. Calangute Beach is a 4 mile long beach that lies between Baga and Candolim beach. It is also among the top beaches of Goa.The beach is wide with soft sand but the sea is rough. .....
", Beach,14,4.99,1196,1, Panjim Kad
TD-2,Baga Beach,"from Panjim Kadamba Bus Stand, 10 km from Mapusa and 41 km from Vasco Da Gama Railway Station, Calangute Beach is the largest Beach in North Goa and one of the best tourist Places to visit in Goa. The beach is often represented in promotion of Goa Tourism. Calangute Beach is another popular attraction not to miss in a Goa tour packages.Calangute is also called the 'Queen of beaches' in Goa and among the best beaches in Goa. As stories go on, hippies had discovered this beach during the 60's so is it famous since then. Calangute along with Candolim, Baga and Anjuna form part of stretch of beach extending from just outside Panaji city to Fort Aguada. Calangute Beach is a 4 mile long beach that lies between Baga and Candolim beach. It is also among the top beaches of Goa.The beach is wide with soft sand but the sea is rough. .....
", Beach,14,3.89,867,2, Panjim Kad
TD-3,Basilica Of Bom Jesus,"from Panjim Kadamba Bus stand, Baga beach is located in North Goa. This beach is bordered by Calangute Beach to its south and Anjuna Beach to its north. Baga Beach starts right where Calangute ends. Named after the Baga Creek that merges into the Arabian Sea on the northern part of the beach, this is one of the most popular among Goa beaches. Baga Beach is famous for its beach shacks and the delicious sea food that is offered there. The night life at Baga is even more exciting than its days. Baga Beach is the home to some of the hottest night clubs like Tito's and Mambos which are always crowded with the dance freaks. Mackie's Saturday Night Bazaar offers amazing buys for the shopper. Baga Beach is a popular tourist attraction of Goa. This beach is entertaining from sunrise to sunset. As the sun sets down, party mode is switched-on around this beach. A former hippie hideaway, .....
", Beach,15,4.9,1054,2, Panjim Kad
TD-4,Aguada Fort,"rom Panjim Kadamba Bus Stand and 27 km from Vasco Da Gama Railway Station, the famous Bom Jesus Basilica is part of UNESCO World Heritage Site (Churches & Convents of Goa). It is also called St. Francis Xavier's Tomb. It is one of the top attractions you must include in Goa packages and one of the major heritage sites in Goa state. The church is often represented in promotion of Goa Tourism.The Basilica of Bom Jesus is dedicated to St. Francis Xavier. The Construction of the church began in 1594 and completed in May 1605. The church is called 'Bom Jesus' meaning 'good Jesus' or 'infant Jesus'. This church is the first Minor Basilica in India and is regarded as one of the best examples of baroque architecture.The imposing facade built out of black granite in an exquisite combination of the Doric, Corinthian and composite styles, is remarkable for its simplicity. .....
", Heritage,9,4.25,1008,2,rom Panjim Kada
TD-5,Vagator Beach,"from Panjim Kadamba Bus Stand, 4 km from Candolim and 49 km from Margao Railway Station, the grand Fort of Aguada was constructed to prevent the entry of ships into the River Mandovi thus protecting old Goa from the attacks of Dutch and Marathas. Aguda Fort is one of the prime Goa tourist places and one of the major heritage sites in Goa state. Aguada Fort is one of the top attractions you must include in Goa packages.The Aguada Fort was built by the Portuguese colonial rulers on the beach south of Candolim at the shore of the Mandovi River in 1612. A freshwater spring within the fort provided water supply to the ships that used to stop by. This is how the fort got its name 'Aguada' meaning Water. The heart of the fort was protected by two hundred cannons and a deep dry moat, which one still has to cross to get inside.A central jail and a lighthouse built during .....
", Heritage,15,4.86,885,1, Panjim Kad
TD-6,Shri Mangueshi Temple / Mangeshi Temple,"from Panjim Kadamba Bus Stand, 46 km from Vasco Da Gama Railway Station and 13 km from Mapusa, Vagator Beach is situated in North Goa, near Chapora Fort. It is among the top places to visit in Goa.Vagator Beach is a part of a 30 km stretch of beach coastline along the west coast of Goa by the Arabian Sea that begins at Fort Aguada and ending at Chapora Beach and Fort. It is a bay between the rocky headlands and one of the Goa best beaches. It is covered with soft white sand, dotted by coconut trees and huge black rocks. The sea at Vagator turns from aquamarine to emerald green with the movement of the sun.Vagator Beach is divided into Big Vagator or North Vagator, Middle Vagator (Tel Aviv beach) and Little Vagator (Ozran) by a few rocks. To reach the beach one has to climb down a hill. The Big Vagator Beach is a long white sandy .....
", Beach,19,4.45,1357,1, Panjim Kad
TD-7,Colva Beach,"from Panjim Kadamba Bus Stand, 46 km from Vasco Da Gama Railway Station and 13 km from Mapusa, Vagator Beach is situated in North Goa, near Chapora Fort. It is among the top places to visit in Goa.Vagator Beach is a part of a 30 km stretch of beach coastline along the west coast of Goa by the Arabian Sea that begins at Fort Aguada and ending at Chapora Beach and Fort. It is a bay between the rocky headlands and one of the Goa best beaches. It is covered with soft white sand, dotted by coconut trees and huge black rocks. The sea at Vagator turns from aquamarine to emerald green with the movement of the sun.Vagator Beach is divided into Big Vagator or North Vagator, Middle Vagator (Tel Aviv beach) and Little Vagator (Ozran) by a few rocks. To reach the beach one has to climb down a hill. The Big Vagator Beach is a long white sandy .....
", Beach,19,4.35,1301,1, Panjim Kad
TD-8,Se Cathedral,"from Panjim Kadamba Bus Stand, 37 km from Vasco Da Gama Railway Station and 34 km from Mapusa, Shri Mangueshi Temple is situated in North Goa. It is of the must visit Goa tourist places and a major pilgrimage site of Goa state.Shri Mangeshi temple is located on a hillock at Mangeshi Village in Priol, Ponda Taluka. Shri Mangeshi Temple is one of the largest, wealthiest and most popular Hindu shrines in Goa. Mythology says that Lord Shiva came to Goa after having lost everything in a game of dice against his wife Parvati. When Parvati came looking for him, he disguised himself as a tiger and frightened her. In a state of shock, Parvati uttered the words ''Trahi Mam Grisha'', which means ''O Lord of the Mountains, save me''. Shiva then reverted into his normal form and returned with her. The words, ''Mam Grisha'' came to be associated with this story and Shiva came to be known as 'Manguesh'. The place where this tale occurred .....
", Heritage,21,4.26,911,1, Panjim Kad
TD-9,Reis Mogos Fort,"from Panjim Kadamba Bus Stand, 8 km from Margao Railway Station and 25 km from Vasco Railway Station, Colva Beach is located in South Goa. It is one of the prime Places to visit in Goa state and among the best beaches in Goa.Colva Beach is the oldest, largest and the most spectacular beaches of South Goa. The beach consists of about 25 km of the fine powdered white sand and is bounded along its coast by coconut palms that stretch from Bogmalo in the north to Cabo de Rama in the south along south Goa's coastline. Colva is one of the top beaches in Goa.In the colonial days it used to be the retreat for Margao's high society. Today the area that is reminiscent of the luxurious lifestyle of the aristocratic class has the beautiful houses and villas that dot the village. The main beach .....
", Beach,33,3.93,1184,2, Panjim Kad
TD-10,River Cruise - Mandovi River,"rom Panjim Kadamba Bus Stand, 27 km from Vasco Da Gama Railway Station and 23 km from Mapusa, Se Cathedral is considered to be one of the largest churches in Asia, situated in Old Goa, opposite to Basilica of Bom Jesus. The beautiful Se Cathedral is one of the top places to visit in Goa. This place is part of UNESCO World Heritage Site (Churches & Convents of Goa).The Se Cathedral is dedicated to St. Catherine. It is also known to be the oldest and the most celebrated religious buildings in Goa and has the prestige of being the seat of Archdiocese of Goa. According to history, Alfonso Albuquerque in 1510 defeated the Muslim army on the feast day of St. Catherine of Alexandria and took possession of Goa. The construction of this imposing church began in 1562 during the reign of King Dom Sebastiao and substantially completed by 1619. The main altars however were not finished until .....
", Heritage,9,3.79,930,1,rom Panjim Kada
