Place_id,Title,Description,Category,Distance (Km.),Rating,Expense (Per Head in Rs.),n_days,Boarding_pt
TD-1,Annandale,"rom Shimla Railway Station and 2.7 km from Shimla Old Bus Stand, Annandale is a historical play ground located at a height of 6,117 feet above sea level. Annandale is one of the prime tourist attractions in Shimla and also one of the best Tourist places in Himachal Pradesh.Annandale is a favorite spot for cricket and polo. Annandale is located in a deep wide valley in the suburban village of Kaithu, Shimla west. This playground rests on a small patch of table-land about a three-quarter of a mile in circumference. This place was named by Captain Charles Pratt Kennedy, one of the first incomers to the place.It is quite a scenic spot as it gives a picturesque view of the Shimla city and its surroundings are occupied by deodar trees, oak trees, etc. Since the 1830s, Annandale has been an important centre of Anglo-Indian playful activities, amusement and entertainment. .....
", Nature,2,4.45,1295,1,rom Shimla Rail
TD-2,Dorje Drak Monastery / TDAC Nyingmapa Monastery,"rom Shimla Railway Station and 2.7 km from Shimla Old Bus Stand, Annandale is a historical play ground located at a height of 6,117 feet above sea level. Annandale is one of the prime tourist attractions in Shimla and also one of the best Tourist places in Himachal Pradesh.Annandale is a favorite spot for cricket and polo. Annandale is located in a deep wide valley in the suburban village of Kaithu, Shimla west. This playground rests on a small patch of table-land about a three-quarter of a mile in circumference. This place was named by Captain Charles Pratt Kennedy, one of the first incomers to the place.It is quite a scenic spot as it gives a picturesque view of the Shimla city and its surroundings are occupied by deodar trees, oak trees, etc. Since the 1830s, Annandale has been an important centre of Anglo-Indian playful activities, amusement and entertainment. .....
", Nature,2,4.09,1222,2,rom Shimla Rail
TD-3,Vice Regal Lodge,"rom Shimla Railway Station, 7 km from Shimla Old Bus Stand, Dorje Drak Monastery, also known as TDAC Nyingmapa Monastery is located at Kasumpti, Shimla. Dorje Drak Monastery in Shimla is a famous tourist place in the city. It is a beautiful Buddhist monastery that displays the prevalence of Tibetan culture in the state. The monks meditating in the monastery is quite a sight to watch. The calm ambience of this place is a delight for people seeking moments of repose. Dorje Drak monastery is run by the Tibetan exiles. The Monastery is one of the biggest monasteries of the Nyingmapa School. His Highness Kyabje Taklung Tsetrual Rinpoche who is the head of Dorje Drak monasteries in India decided to set up this temple at Shimla after he migrated from Tibet in 1959. The Solid Square and rectangular structure of the monastery is a perfect example of Buddhist architecture in the Himalayan Region. After the destruction .....
", Heritage,8,4.32,805,1,rom Shimla Rail
TD-4,Jakhu Temple / Jakhu Hill,"rom Shimla Railway Station and 3 km from Shimla Old Bus Stand, Vice Regal Lodge also known as Rashtrapati Niwas is located on the Observatory Hills of Shimla, Himachal Pradesh, India. The lodge is one the best places to visit in Shimla city. It was formerly the residence of the British Viceroy of India Lord Dufferin. The Vice Regal Lodge was designed by British architect Henry Irwin and built in the Jacobethan style during the regime of Lord Dufferin. Its construction was started in 1880 and completed in 1888. Only the local woods like pine and cedar were used to construct this marvel. Vice Regal Lodge is the only building of Shimla that occupies an entire hill by itself. The building now serves as the center for the Indian Institute of Advanced Study (IIAS).The entrance opening to South leads one to the reception hall which stands adorned by a splendid fireplace and a grand spiraling staircase. The building .....
", Heritage,2,4.17,1243,1,rom Shimla Rail
TD-5,Kali Bari Temple,"rom Shimla Railway Station and 7 km from Shimla Old Bus Stand, Jakhu Temple is an ancient temple dedicated to Hindu deity Hanuman. It is situated on Jakhu Hill and is one of the prime places to visit in Shimla. It is situated at an altitude of 2455m and is also the highest peak in Shimla. According to mythology, a deadly arrow injured Lord Rama's brother Lakshmana when he was fighting the battle with the demon king Ravana. In order to save his life, when lord Hanuman was moving towards Himalayas to get Sanjeevani herb. Upon reaching the Himalayas, Hanuman couldn't make out as to which herb was the Sanjeevani. So he dug up the entire mountain and flew back to where Lakshmana was lying injured.After Lakshmana was cured, Hanuman went back to place the mountain in its original site. He rested on top of the Jakhu hill for some time. .....
", Pilgrimage,7,4.04,1280,1,rom Shimla Rail
TD-6,The Mall," from Shimla Railway Station and 1 km from Shimla Old Bus Stand, Kali Bari Temple is one of the popular pilgrim centers and famous tourist places to visit in Shimla.The Temple of Kali Bari was constructed in 1845 by Ram Charan Bhramachari, a Bengali Brahmin on Jakhu Hill. This is one of the oldest temples in Shimla and is held in high veneration by the town's Hindu community. Later the British rulers relocated the temple to the present site. The temple is dedicated to Goddess Kali who is locally known as 'Shyamala'. The name Shimla is said to have originated from the name 'Shyamala'. The original temple belonged to goddess Shyamla-which was converted into Kali Bari by some Bengali devotees. A blue wooden idol of Goddess Shyamala at an original altar was installed by some Bengali devotees. Along with the rituals the Kali Bari provides .....
", Pilgrimage,1,4.85,1127,1, from Shimla Ra
TD-7,Tara Devi Temple," from Shimla Railway Station and 1 km from Shimla Old Bus Stand, Kali Bari Temple is one of the popular pilgrim centers and famous tourist places to visit in Shimla.The Temple of Kali Bari was constructed in 1845 by Ram Charan Bhramachari, a Bengali Brahmin on Jakhu Hill. This is one of the oldest temples in Shimla and is held in high veneration by the town's Hindu community. Later the British rulers relocated the temple to the present site. The temple is dedicated to Goddess Kali who is locally known as 'Shyamala'. The name Shimla is said to have originated from the name 'Shyamala'. The original temple belonged to goddess Shyamla-which was converted into Kali Bari by some Bengali devotees. A blue wooden idol of Goddess Shyamala at an original altar was installed by some Bengali devotees. Along with the rituals the Kali Bari provides .....
", Pilgrimage,1,4.59,1039,1, from Shimla Ra
TD-8,Christ Church,"rom Shimla Railway Station and 2 km from Shimla Old Bus Stand, Mall Road is the main street in Shimla. Located at the heart of the town, the Mall Road is one of the busiest commercial areas of Shimla. The Mall extends from Barnes court in the eastern side to Vice Regal Lodge in the western side. Shopping in Mall Road is one of the top things to do in Shimla.Built by the British during the colonial rule in India, the Mall Road was constructed keeping in mind the traffic on this route. Entry of vehicles was banned though cycle rickshaws were allowed. It has been built in a very strategic and planned way. The Mall road is located a level below the ridge. The offices of Municipal Corporation, fire service and police headquarters are located here. The Mall Road also has all major hotels, restaurants and recreation centers of Shimla. The Mall road is full of shops that sell woolen clothes, branded clothes, handicraft .....
", Shopping,2,4.11,1013,2,rom Shimla Rail
TD-9,The Ridge,"from Shimla Railway Station, Tara Devi Temple is situated near Shogi village on Shimla - Kalka National Highway. The temple is famous for it's breathtaking location and beautiful valleys around the hill. The temple is one of the top pilgrimage sites and also a popular place for sightseeing in ShimlaThe Temple is dedicated to Goddess Tara (goddess of stars) and stands on Tara Devi hilltop lies at an altitude of 1851 m above sea level between Shimla and Shoghi and is a very popular visiting spot for tourists and devotees. The lush green environs surrounding it give the temple a very peaceful and tranquil atmosphere. According to the legend, Goddess Tara Devi idol was brought to Himachal Pradesh from West Bengal. The history of this temple dates back to about 250 years when this temple was built here. Hundreds of years ago a king from the Sen Dynasty visited this area. He was in the habit of carrying his personal .....
", Heritage,17,4.67,1121,1, Shimla Rai
TD-10,Kalka - Shimla Railway,"rom Shimla Railway Station and 1.3 km from Shimla Old Bus Stand, Christ Church Shimla is the second oldest church in North India. The majestic appearance of the church and its stunning location makes it one of the top places to visit in Shimla. The church was designed in neo-gothic style in 1844 by J.T. Boileau but it was consecrated after 1857. The Christ Church is situated on The Ridge where is stands out as one of the prominent landmarks of Shimla. Colonel Dumbleton in 1860 donated the giant round clock that adorns the front facial of the church. The porch was added to the structure in 1873. It started as a shrine to serve the Anglican British community in Shimla and hence is considered as one of the most visited places of worship in the country's most celebrated hill town. It is governed under the diocese of Amritsar belonging to the Churches of North India. The interior .....
", Heritage,2,4.64,1179,2,rom Shimla Rail
