Place_id,Title,Description,Category,Distance (Km.),Rating,Expense (Per Head in Rs.),n_days,Boarding_pt
TD-1,Tirumala,"from Tirupati, 87 km from Chittoor, 435 km from Vijayawada, 574 km from Hyderabad, 785 km from Vizag, 155 km from Chennai and 271 km from Bangalore, Tirumala, located in the Chittoor district of Andhra Pradesh, is one of the most famous pilgrimage centers in India and also one of the top places to experince Andhra Pradesh tourism. Tirumala is commonly referred as Tirupati by devotees, but they are 22 km apart and the sacred Balaji Temple is situated in Tirumala.Tirumala, adobe of Sri Venkateswara (also known as Balaji - an incarnation of Lord Vishnu) is one of the most celebrated pilgrimage centers in India and it attracts millions of devotees every year. The Tirumala Temple is situated atop the Tirumala Hills which consists of seven peaks known as Sapthagiri at an altitude of 3,200 ..... Distance (From Tirupati):  20 KmsTrip Duration (From Tirupati - Including Travel):  1-2 Days.....
", Pilgrimage,22,4.07,572,2, Tirupati 
TD-2,Govindaraja Swami Temple,"from Tirupati, 87 km from Chittoor, 435 km from Vijayawada, 574 km from Hyderabad, 785 km from Vizag, 155 km from Chennai and 271 km from Bangalore, Tirumala, located in the Chittoor district of Andhra Pradesh, is one of the most famous pilgrimage centers in India and also one of the top places to experince Andhra Pradesh tourism. Tirumala is commonly referred as Tirupati by devotees, but they are 22 km apart and the sacred Balaji Temple is situated in Tirumala.Tirumala, adobe of Sri Venkateswara (also known as Balaji - an incarnation of Lord Vishnu) is one of the most celebrated pilgrimage centers in India and it attracts millions of devotees every year. The Tirumala Temple is situated atop the Tirumala Hills which consists of seven peaks known as Sapthagiri at an altitude of 3,200 ..... Distance (From Tirupati):  20 KmsTrip Duration (From Tirupati - Including Travel):  1-2 Days.....
", Pilgrimage,22,4.1,994,1, Tirupati 
TD-3,Kapila Theertham,"rom Tirupati Railway Station & 22 km from Tirumala Tirupati Balaji Temple, Sri Govindaraja Swami Temple is one of the important temples in Tirupati, located in the heart of the city. It is one of the best places to visit in Tirupati city.The original temple had Sri Parthasarathi as the main deity. Sri Ramanuja added the Sri Govindaraja deity in 1130 AD. Yadavaraya Dynasty made several gifts for decoration of the chariot and carrying necessary repairs of the temple. The temple came in for greater importance in 1506 AD during the rule of Vijayanagara Dynasty and from then onwards different rulers in a different way developed the temple.This famous temple in Tirupathi is a remarkable achievement of the ancient south Indian architecture. It has an impressive outer gopura and an inner gopura. The inner most gopura is the earliest one, dating from the 14th century and has carvings that depict scenes from Ramayana and Lord Krishna's life. The temple has two .....
", Pilgrimage,1,4.16,642,2,rom Tirupati Ra
TD-4,Chandragiri,"rom Tirupati Railway Station & 25 km from Tirumala Tirupati Temple of Lord Venkateswara, Kapila Theertham is a famous waterfall situated inside Kapileswara Swamy Temple at the foot of Sheshadri Hills in Tirupati. This is a unique waterfall where the water of mountain streams drop from a height of over 100 feet into a large pond in the temple premises. It is one of the must visit tourist places in Tirupati and a major pilgrimage site in Tirupati city.Kapila Theertham temple is the only Shiva temple in the vicinity of Tirupati. It is also said to be one of the 108 sacred teerthas (springs) on Tirumala hills. The Siva lingam here is made of brass. A huge stone statue of a seated bull Nandhi, greets devotees at the entrance to the temple.According to legend, Saint Kapila Maharishi was said to have lived here, worshipped and meditated in the cave in front of the .....
", Pilgrimage,4,4.0,986,2,rom Tirupati Ra
TD-5,Tiruchanur,"from Tirupati, 33 km from Tirumala Tirupati Balaji Temple, 147 km from Chennai, 238 km from Bangalore & 574 km from Hyderabad, Chandragiri is an ancient town and the seat of Yadavaraya Kings from 11th to 13th centuries and fourth capital of Vijayanagar Dynasty. Chandragiri along with Tirupati is one of the ideal Chennai weekend getaways and a major heritage / historical site in Andhra Pradesh. It is one of the prime Tourist places in Tirupati town.Chandragiri near Tirupati is famous for the historical fort, built in the 11th century. Chandragiri was under the rule of Yadavaraya Dynasty for about three centuries and came into control of Vijayanagar rulers in 1367. It came into prominence during Saluva Narasimha Rayalu. Chandragiri was the 4th capital of Vijayanagar Empire .....
", Heritage,15,4.09,729,1, Tirupati 
TD-6,Srinivasa Mangapuram,"rom Tirupati Railway Station & 27 km from Tirumala Tirupati Balaji Temple, Tiruchanur also called as Alimelumangapuram is famous for Alimelu Manga Temple dedicated to goddess Padmavati, the consort of Lord Venkateswara. It is believed that pilgrimage to Tirumala is incomplete without a visit to Sri Padmavati Ammavari Temple at Tiruchanur.According to ancient scripts, as Lord Venkateswara Temple at Tirumala was not easily accessible, a new temple called Tiruvalan Koil was constructed at Tiruchanur near Tirupathi to house Lord Venkateswara in 8th century by Pallavas. The temple was later dedicated to Padmavati Devi by Yadava Rayas in 12th century.According to the legend, Lord Vishnu showed his reverence towards the sage Bhrigu, even though the sage had insulted Vishnu. In anger, Sri Maha Lakshmi immersed herself for 12 years here in pushkarini the banks of Swarnamukhi River and emerged from it in a Golden .....
", Pilgrimage,5,4.1,1010,2,rom Tirupati Ra
TD-7,Srikalahasti,"rom Tirupati Railway Station & 27 km from Tirumala Tirupati Balaji Temple, Tiruchanur also called as Alimelumangapuram is famous for Alimelu Manga Temple dedicated to goddess Padmavati, the consort of Lord Venkateswara. It is believed that pilgrimage to Tirumala is incomplete without a visit to Sri Padmavati Ammavari Temple at Tiruchanur.According to ancient scripts, as Lord Venkateswara Temple at Tirumala was not easily accessible, a new temple called Tiruvalan Koil was constructed at Tiruchanur near Tirupathi to house Lord Venkateswara in 8th century by Pallavas. The temple was later dedicated to Padmavati Devi by Yadava Rayas in 12th century.According to the legend, Lord Vishnu showed his reverence towards the sage Bhrigu, even though the sage had insulted Vishnu. In anger, Sri Maha Lakshmi immersed herself for 12 years here in pushkarini the banks of Swarnamukhi River and emerged from it in a Golden .....
", Pilgrimage,5,4.06,601,2,rom Tirupati Ra
TD-8,Talakona Waterfalls,"from Tirupati, 3 km from Chandragiri & 29 km from Tirumala Tirupati Temple of Lord Venkateswara, Srinivasa Mangapuram is famous for Sri Kalyana Venkateswara Swami Temple. This is one of the important temples near Tirupati town and is located towards Chandragiri town. It is one of the must visit Tirupati TemplesThe ancient temple at this site was discovered by some devotees in 1540 CE. The present form of the temple came into existence by the relentless efforts of Chinna Thirumalaiyya, the grandson of Annamacharya. According to legend, Lord Venkateswara stayed here after his marriage with Sri Padmavati Devi. Once the marriage ceremony got over, Venkateswara paid a visit to the holy ashram of sage Agasthya located near the banks of the river Swarnamukhi in Chandragiri Hills. It is believed that sage Agasthya requested them to stay in his ashram for six months. Later, the location where the Lord stayed with his bride became a holy shrine and acquired the name, .....
", Pilgrimage,12,4.12,1169,2, Tirupati 
TD-9,Kanipakam,"from Tirupati, 113 km from Chennai, 291 km from Bangalore, 375 km from Vijayawada and 552 km from Hyderabad, Srikalahasti, popularly known as Kalahasti is one of the ancient and most important Shiva Kshetras situated in Chittoor district of Andhra Pradesh. Srikalahasti is famous for Srikalahasteeswara Temple (referred as Srikalahasti Temple) built in 10th century. The entire temple was carved out of the side of a huge stone hill. Srikalahasti is among ideal weekend getaways from Chennai city for a two day trip and also one of the top places to experience AP Tourism.Srikalahasti got its name from three words - 'Sri' meaning a spider, 'Kala' meaning a serpent and Hasti meaning an elephant, as these three creatures are believed to have worshipped Lord Shiva at this place and attained salvation. It ..... Distance (From Tirupati):  35 KmsTrip Duration (From Tirupati - Including Travel):  Half Day to Full Day.....
", Pilgrimage,37,4.11,680,2, Tirupati 
TD-10,"Tada Falls / Ubbalamadugu Falls, Near Srikalahasti","from Bakarapet, 64 km from Tirupati, 120 km from Horsley Hills, 192 km from Chennai, 241 km from Bangalore and 89 km from Chittoor, Talakona Falls are situated in Sri Venkateswara National Park near Nerabailu Village of Yerravari Mandal of Chittoor district in Andhra Pradesh. The gorgeous waterfall falling deep into a valley from a height of around 270 feet makes it the highest waterfall in Andhra Pradesh and also one of the top Tourist places in Andhra Pradesh. It is also one of the popular waterfalls near Bangalore.The waterfalls are placed amidst dense forest surrounded by natural beauty and greenery. It is believed that the water of Talakona Falls is enriched with herbs with healing powers. Talakona was declared as Bio-Sphere Reserve in 1990 because of wide ..... Distance (From Tirupati):  49 KmsTrip Duration (From Tirupati - Including Travel):  Full Day.....
", Adventure,49,4.19,632,1, Bakarapet
