Place_id,Title,Description,Category,Distance (Km.),Rating,Expense (Per Head in Rs.),n_days,Boarding_pt
TD-1,Kashi Vishwanath Temple / Golden Temple,"rom Varanasi Junction, Kashi Vishwanath Temple is an ancient Hindu temple situated on the banks of River Ganga in Varanasi city of Uttar Pradesh. Popularly known as Golden Temple, it is one of the twelve jyotirlinga temples and also one of the popular places of Pilgrimage in India. Kashi Vishwanath Temple is dedicated to Lord Vishwanath, one of the incarnations of Lord Shiva and he is regarded as the patron deity of Varanasi. The Vishwanath Jyotirlinga Temple at Varanasi has high religious significance and is the center of faith for millions of Hindus. The temple was visited by many great saints including Ramakrishna Paramhansa, Swami Vivekananda, Maharishi Dayanand Saraswati, Goswami Tulsidas, Adi Shankaracharya and Gurunanak Dev. Lord Vishwanath is considered to the supreme origin of the spiritual truth and strengthens the bonds of universal brotherhood. It is believed that a single darshan of Vishweshwara Jyotirlinga is considered to auspicious more than .....
", Pilgrimage,5,4.12,554,1,rom Varanasi Ju
TD-2,Dasashwamedh Ghat,"rom Varanasi Junction, Kashi Vishwanath Temple is an ancient Hindu temple situated on the banks of River Ganga in Varanasi city of Uttar Pradesh. Popularly known as Golden Temple, it is one of the twelve jyotirlinga temples and also one of the popular places of Pilgrimage in India. Kashi Vishwanath Temple is dedicated to Lord Vishwanath, one of the incarnations of Lord Shiva and he is regarded as the patron deity of Varanasi. The Vishwanath Jyotirlinga Temple at Varanasi has high religious significance and is the center of faith for millions of Hindus. The temple was visited by many great saints including Ramakrishna Paramhansa, Swami Vivekananda, Maharishi Dayanand Saraswati, Goswami Tulsidas, Adi Shankaracharya and Gurunanak Dev. Lord Vishwanath is considered to the supreme origin of the spiritual truth and strengthens the bonds of universal brotherhood. It is believed that a single darshan of Vishweshwara Jyotirlinga is considered to auspicious more than .....
", Pilgrimage,5,4.19,558,1,rom Varanasi Ju
TD-3,New Vishwanath Temple / Birla Temple,"rom Varanasi Junction, Dasashwamedh Ghat is a ghat on the banks of River Ganga in the holy town of Varanasi. Located close to Vishwanath Temple, Dasashwamedh Ghat is one of the oldest ghats in Varanasi and also one of the popular places to visit in Varanasi.The Dasaswamedh Ghat is one of the most important religious sites in Varanasi and is considered as the main ghat. It is believed that Lord Brahma performed his victorious Dasa_Ashwamedha (ten - horses) sacrifice in this spot, hence the name Dasashwamedh Ghat. Locals also believe that this ghat was built by Bajirao Peshwa I in 1740 AD. However, Ahilyabahi Holkar, the Queen of Indore rebuilt the ghat in the year 1774. Dotted with numerous temples and religious sites, the ghat possesses well laid steps and platforms for performing various rituals and religious activities. Dasashwamedh Ghat is famous for Ganga Aarti at each evening which attracts many devotees and is certainly once in a lifetime experience. .....
", Pilgrimage,6,4.04,346,2,rom Varanasi Ju
TD-4,Durgakund Temple/ Durga Temple,"from Varanasi Junction, New Vishwanath Mandir is a Hindu temple situated in the premises of Banaras Hindu University (BHU) in Varanasi. Dedicated to Lord Shiva, it is one of the popular temples in Banaras and also one of the biggest tourist attractions in the holy city of Varanasi.Popularly called as Birla Temple, the temple was constructed by the famed Birla family. According to history, Pandit Madan Mohan Malaviya planned to replicate Sri Kashi Vishwanath Mandir in the campus of Banaras Hindu University and the Birla family undertook the construction. The foundation was laid in 1931and was finally completed in 1966.New Vishwanath Temple is having the similar structure of Kashi Vishwanath Temple. Built with marbles, the temple is designed by the founder of BHU, Sri Madan Mohan Malaviya. With a height of 253 feet, the temple has the tallest tower in the world. In fact, it is a temple complex which consists of 7 temples. The Shiva temple is situated .....
", Pilgrimage,12,4.19,370,2, Varanasi J
TD-5,Tulsi Manas Mandir,"rom Varanasi Junction, Durga Mandir or Durgakund Temple is a prominent Hindu temple situated near Tulsi Manas Temple in Varanasi. It is one of the popular places of pilgrimage in Banaras and also one of the must visit Varanasi Tourist Places. Dedicated to Goddess Durga, Durga Mandir was built in the 18th century by a Bengali Maharani. According to the legend, the idol in the temple is not made by man but appeared on its own. It is believed that Goddess Durga has protected Varanasi for many centuries from the South. The temple is known with the name of monkey temple as tourists can spot number of monkeys in the temple vicinity.The temple was built in Nagara style of architecture. The temple is painted red with ochre to match the colours of the central icon of Durga, the goddess of strength and power. The temple is made up of many small sikharas adjoined together. The temple is located on the banks of a rectangular tank, which is often called as the Durga .....
", Pilgrimage,7,4.18,665,2,rom Varanasi Ju
TD-6,Manikarnika Ghat,"rom Varanasi Junction, Tulsi Manas Mandir is a Hindu temple situated next to the famed Durgakund Temple in Varanasi, Uttar Pradesh. It is one of the most famous temples of Varanasi and also an important tourist attraction of the holy city. Tulsi Manas Mandir was built in the year 1964 by Seth Ratan Lal Sureka of Bandhaghat (Howrah). Named after saint Tulsidas, the temple has been precisely devoted to Lord Rama. This temple has great historical and cultural importance in Hinduism since the ancient Hindu epic Ramcharitmanas was originally written at this place by Hindu poet-saint, reformer and philosopher Goswami Tulsidas in the 16th century CE. The temple was constructed in white marble with beautiful landscaping all around. The walls of the temple are engraved with scenes from Ramcharitmanas, the Hindi version of Ramayana. The temple has beautiful images of the Ram, Sita, Lakshmana and Hanuman. There is an attractive Tulsi Garden which has very calm .....
", Pilgrimage,7,4.01,507,2,rom Varanasi Ju
TD-7,Lalita Ghat & Nepali Temple,"rom Varanasi Junction, Tulsi Manas Mandir is a Hindu temple situated next to the famed Durgakund Temple in Varanasi, Uttar Pradesh. It is one of the most famous temples of Varanasi and also an important tourist attraction of the holy city. Tulsi Manas Mandir was built in the year 1964 by Seth Ratan Lal Sureka of Bandhaghat (Howrah). Named after saint Tulsidas, the temple has been precisely devoted to Lord Rama. This temple has great historical and cultural importance in Hinduism since the ancient Hindu epic Ramcharitmanas was originally written at this place by Hindu poet-saint, reformer and philosopher Goswami Tulsidas in the 16th century CE. The temple was constructed in white marble with beautiful landscaping all around. The walls of the temple are engraved with scenes from Ramcharitmanas, the Hindi version of Ramayana. The temple has beautiful images of the Ram, Sita, Lakshmana and Hanuman. There is an attractive Tulsi Garden which has very calm .....
", Pilgrimage,7,4.07,563,1,rom Varanasi Ju
TD-8,Assi Ghat,"rom Dasashwamedh Ghat and 6 km from Varanasi Junction, Manikarnika Ghat is one of the holiest ghats in Varanasi along the banks of River Ganga. Situated just beside Dasashwamedh Ghat, it is the main cremation ghat and also one of the oldest ghats in Varanasi. Popularly called as Mahasmasana, Manikarnika Ghat is one of two burning Ghats in Varanasi while the other one is Harishchandra Ghat. According to Hindu mythology, Manikarnika Ghat is believed to be the place where the ear ornament worn by Sati fell down when Lord Shiva was carrying her to the Himalayas. Manikarnika Ghat is among the pivotal places of interest in Varanasi. According to the religious beliefs, burning the dead bodies at this ghat is a way to attain Moksha, the salvation. The ghat also houses a Shiva Durga Temple, which was constructed by Maharaja of Awadh in 1850. Apart from this, a sacred pond named Cakra-Pushkarini is also adorning this holy place. It is believed that this pond .....
", Pilgrimage,1,4.13,217,1,rom Dasashwamed
TD-9,Ramnagar Fort,"rom Dasashwamedh Ghat and 5 km from Varanasi Junction, Lalita Ghat is one of the main ghats on the Ganges River in Varanasi. This ghat is one of the most venerated ghats of Kashi for the devotees and is also identified among the seven most prominent ghats of Varanasi by Varanasi Tourism Department.The ghat was built by King of Nepal, Rana Bahadur Shah in the early 19th century CE. The ghat is dedicated to Lalita Devi who is reckoned to be the personification of Goddess Durga. Devotees who come to this ghat believe that bathing at this ghat will earn the blessings of the Goddess.Lalita Ghat is dotted with several Hindu temples. The well-known 'lingam' of Ganga Keshav and shrines of Gangatitya, Kashi Devi, Lalita Devi and Bhagirath Tirtha are affiliated to Lalita Ghat. Also known as Nepali Mandir, the Keshava temple was built by King of Nepal in typical Nepalese architecture. Also known as Kothwala Temple, thi is the replica of the famous Pashupatinath .....
", Pilgrimage,1,4.01,239,1,rom Dasashwamed
TD-10,Sarnath,"rom Dasashwamedh Ghat and 8 km from Varanasi Junction, Assi Ghat is one of the famous ghats on the banks of River Ganga in Varanasi. Situated at the confluence of Ganga and Assi Rivers, it is the southernmost ghat in Kashi and also one of the important Places to visit in Varanasi.Assi Ghat has numerous references in the early literature of the Hindus including Agni Purana, Matsya Purana, Padma Purana, Kurma Purana and Kashi Khand. According to the mythology, Goddess Durga had thrown her sword in Assi River after killing the demons Shumbha & Nishumbha. Assi Ghat is called as Assi Saimbeda Tirtha in Kashi Khand and is one of the five special ghats visited by pilgrims during the Panchtirtha Yatra. Also known as Asi Ghat, the Ghat is renowned for a large Shiva Lingam placed under a Peepal Tree. This place also boasts one more ancient temple enshrining a Shiva Lingam famously known as Asisangameshwar Lingam. This was also the place where the renowned saint .....
", Pilgrimage,3,4.14,321,1,rom Dasashwamed
