Place_id,Title,Description,Category,Distance (Km.),Rating,Expense (Per Head in Rs.),n_days,Boarding_pt
TD-1,Taj Mahal,"rom Agra Cantonment Railway Station, Taj Mahal, one of the most popular tourist destinations in the world, is located on the southern bank of the Yamuna River in Agra of Uttar Pradesh State. Taj Mahal was declared as a World Heritage Site by UNESCO in 1983 and it is also counted among the seven wonders of the modern world. It attracts around four million visitors annually. Taj Mahal is the face of Agra Tourism and among the must include place in your Golden Triangle tour packages.Taj Mahal was commissioned in 1632 by the Mughal emperor Shah Jahan (reigned 1628-1658), in the memory of his favorite wife Mumtaz Mahal. The construction of the monument was completed in 1653. The Taj Mahal was constructed under the supervision of architects Abdul-Karim Ma'mur Khan, Makramat Khan and Ustad Ahmad Lahauri. It took 21 years for the Taj Mahal to be constructed .....
", Heritage,27,4.8,665,2,rom Agra Canton
TD-2,Agra Fort / Agra Red Fort,"rom Agra Cantonment Railway Station, Taj Mahal, one of the most popular tourist destinations in the world, is located on the southern bank of the Yamuna River in Agra of Uttar Pradesh State. Taj Mahal was declared as a World Heritage Site by UNESCO in 1983 and it is also counted among the seven wonders of the modern world. It attracts around four million visitors annually. Taj Mahal is the face of Agra Tourism and among the must include place in your Golden Triangle tour packages.Taj Mahal was commissioned in 1632 by the Mughal emperor Shah Jahan (reigned 1628-1658), in the memory of his favorite wife Mumtaz Mahal. The construction of the monument was completed in 1653. The Taj Mahal was constructed under the supervision of architects Abdul-Karim Ma'mur Khan, Makramat Khan and Ustad Ahmad Lahauri. It took 21 years for the Taj Mahal to be constructed .....
", Heritage,32,4.92,666,2,rom Agra Canton
TD-3,Tomb Of Itimad-ud-Daulah / Baby Taj," from Agra Cantonment Railway Station and 2.5 Km from Taj Mahal, The Agra Fort, also known as the Lal Qila or Red Fort, is situated on the banks of Yamuna River in Agra, It is among the prime places to visit in Agra City. Uttar Pradesh. The Fort is a UNESCO World Heritage and one of the best forts in India.Agra Fort was originally a brick fort known as Badalgarh, held by Raja Badal Singh, a Hindu Rajput king (1475 AD). Sikandar Lodi was the first Sultan of Delhi to shift his capital from Delhi to Agra. After Sikandar Lodi died in 1517, his son Ibrahim Lodi held the fort for 9 years until he was defeated and killed in the battle of Panipat in 1526. Several palaces, wells and a mosque were built in the fort during the Lodi period.After the First Battle of Panipat in 1526, the victorious Babur stayed in the fort, in the palace .....
", Heritage,28,4.13,565,2, from Agra Cant
TD-4,Akbar's Tomb - Sikandra,"rom Agra Cantonment Railway Station and 3 km from Agra Fort, Tomb of Itimad-ud-Daulah is a Mughal mausoleum located on the western bank of the Yamuna River near the Yamuna Bridge Railway Station in Agra. The tomb is also known as the Jewel Box or Baby Taj as it looks like a smaller version of the Taj Mahal. It is one of the popular Agra tourist places and also one of the top attractions you must include in Agra packages. It is believed that this tomb was the inspiration behind the construction of the Taj Mahal.Itimad-ud-Daulah is the first monument in India built entirely with marble. The tomb was built between 1622 and 1628 by the Queen of Jahangir, Nur Jahan as a memorial to her father, Mirza Ghiyas. Mirza Ghiyas was an imperial officer and bestowed with the title of Itmad-ud-Daulah (Pillar of State) by Emperor Jahangir.The .....
", Heritage,5,4.17,554,2,rom Agra Canton
TD-5,Fatehpur Sikri," from Agra Cantonment Railway Station, Akbar's Tomb is located at Sikandra in the suburbs of Agra, on the Mathura road. It is among the top places to visit in Agra. The Tomb of Akbar is an important Mughal architectural masterpiece built in 1605-1613 in Sikandra. It houses the mortal remains of the greatest Mughal Emperor Akbar. The construction of this tomb was started in 1600 by Emperor Akbar himself. After the death of Akbar in 1605, the tomb was completed by his son Jahangir in 1613. However, during the reign of Aurangzeb Alamgir, Rebellious Jats under Raja Ram Jat, ransacked the intricate tomb, plundered and looted all the beautiful gold, jewels, silver and carpets. Extensive repairs were carried out by the British under Lord Curzon.The tomb of Akbar can be entered through an elegant southern gateway similar to Buland .....
", Heritage,17,3.65,526,1, from Agra Cant
TD-6,Jahangiri Mahal - Agra Fort,"from Agra, 223 km from Delhi and 209 km from Jaipur, Fatehpur Sikri is a deserted fort city in the Agra District of Uttar Pradesh, India. UNESCO declared this complex as a World Heritage Site in 1986. It is one of the popular place to visit along with Golden Triangle tour and also among ideal weekend getaways from Delhi & Noida cities.Akbar, the greatest Mughal Emperor, was commissioned Fatehpur Sikri in 1569. The city was constructed to honour Sufi saint, Sheikh Salim Chisti, who used to live in a cavern on the ridge at Sikri. Akbar revered him very much as the Saint had blessed him with a son who was named Salim in 1569. Akbar shifted his capital from Agra to Sikri in 1571 and named the city as Fatehabad meaning victorious. This city served as the capital of the Mughal Empire from 1571 till 1585 and was ..... Distance (From Agra Cantonment):  37 KmsTrip Duration (From Agra Cantonment - Including Travel):  Half Day to Full Day.....
", Heritage,32,4.43,694,2, Agra 223
TD-7,Khas Mahal - Agra Fort,"from Agra, 223 km from Delhi and 209 km from Jaipur, Fatehpur Sikri is a deserted fort city in the Agra District of Uttar Pradesh, India. UNESCO declared this complex as a World Heritage Site in 1986. It is one of the popular place to visit along with Golden Triangle tour and also among ideal weekend getaways from Delhi & Noida cities.Akbar, the greatest Mughal Emperor, was commissioned Fatehpur Sikri in 1569. The city was constructed to honour Sufi saint, Sheikh Salim Chisti, who used to live in a cavern on the ridge at Sikri. Akbar revered him very much as the Saint had blessed him with a son who was named Salim in 1569. Akbar shifted his capital from Agra to Sikri in 1571 and named the city as Fatehabad meaning victorious. This city served as the capital of the Mughal Empire from 1571 till 1585 and was ..... Distance (From Agra Cantonment):  37 KmsTrip Duration (From Agra Cantonment - Including Travel):  Half Day to Full Day.....
", Heritage,11,3.51,493,1, Agra 223
TD-8,Diwan-i-Am - Agra Fort," from Agra Cantonment Railway Station and 2.5 km from Taj Mahal, Jahangiri Mahal is the most noteworthy building inside the Agra Fort. Jahangiri Mahal is the first monument that comes in the view once visitors enter the fort from the Amar Singh Gate. Jahangiri Mahal was built by Akbar during 1565-69. This was the principal zenana, and was used mainly by the Rajput wives of Akbar. It is one of the earliest surviving buildings of Akbar's reign. Jahangir in his memories has clearly mentioned that the buildings were erected by his father Akbar. Mughal empress Nur Jahan used this as her residence.The palace is made of red sand stone and displays a generous blend of Hindu and Islamic architectural styles. Its outer walls rise with the massive ramparts of the fortress on the river. A gateway leads to an inner courtyard surrounded by large halls which are extensively adorned with Persian style stone carvings. .....
", Heritage,31,3.54,163,1, from Agra Cant
TD-9,Diwan-i-Khas - Agra Fort," from Agra Cantonment Railway Station and 2.5 km from Taj Mahal, Khas Mahal, also called Aramgah-i-Mualla (rest house of the noble) or Aramgah-i-Muqaddas, is situated inside the Agra Fort.Khas Mahal is the most beautiful building in the fort and was built by Shah Jahan during 1631-1640 AD. The building comprises open Terraces and a hall, flanked by a pavilion on either side serving as partitions. The structure is erected on a sufficiently elevated platform paved with marble. It is the royal palace of the Emperor. The palace includes curtain walls, elegant tanks, fountains and a waterfall surrounded by living apartments with courts and verandahs.The interiors of the palace are adorned with gold work, mural paintings, ornamental designs and floral designs. The pavilions of the Khas Mahal were constructed using red sandstone and coated with white shell plaster. They contained beautiful golden work and fresco .....
", Heritage,6,3.94,261,1, from Agra Cant
TD-10,Moti Masjid / Pearl Mosque - Agra Fort," from Agra Cantonment Railway Station and 2.5 km from Taj Mahal, the Diwan-i-Am or Hall of Audience is situated close to Machchhi Bhawan inside the Agra Fort.Diwan-i-Am was built by Shah Jahan during the years 1628-35 AD. It was the place where the Mughal emperor Shah Jahan (1628-1658) and his successors met general public and heard their complaints. The massive hall has a flat roof and is divided into three sections. Two arched red sandstone gateways on the north and south lead to the hall. The building, originally built in red sandstone, is plastered over with white shell paste resembling white marble. Its ceiling and columns were painted with gold. In the center of the eastern wall stands a marble canopy under which stood the emperor's throne. The emperor received the general public here and heard their complaints. This chamber was connected to the royal apartments and the royal ladies could watch the ceremonials of the Diwan-i-Am through the marble .....
", Heritage,5,4.76,763,2, from Agra Cant
TD-11,Akbari Mahal - Agra Fort," from Agra Cantonment Railway Station and 2.5 km from Taj Mahal, the Diwan-i-Khas or Hall of Private Audience is situated backside of the Machchhi Bhawan inside the Agra Fort.Diwan-i-Khas or Hall of Private Audience was built by Shah Jahan in the year 1635 AD. It was used by the emperor for holding cultural events and meetings important guests such as kings, ambassadors and nobles in private and to deal with important affairs of the state.It consists of two large halls, an outer columned hall and inner closed hall, both connected by three archways. The outer hall is covered by a flat roof supported on multifoil arches springing from exquisitely fine marble pillars. The marble pillars are inlaid with semi-precious stones and coloured flower patterns. The hall is exquisitely decorated with carvings and flat wooden ceiling which used to be covered with gold and silver leaves to imitate the rays of the sun. The hall represents the royal accesses and thus .....
", Heritage,17,4.12,756,2, from Agra Cant
TD-12,Nagina Masjid - Agra Fort," from Agra Cantonment Railway Station and 2.5 km from Taj Mahal, the Diwan-i-Khas or Hall of Private Audience is situated backside of the Machchhi Bhawan inside the Agra Fort.Diwan-i-Khas or Hall of Private Audience was built by Shah Jahan in the year 1635 AD. It was used by the emperor for holding cultural events and meetings important guests such as kings, ambassadors and nobles in private and to deal with important affairs of the state.It consists of two large halls, an outer columned hall and inner closed hall, both connected by three archways. The outer hall is covered by a flat roof supported on multifoil arches springing from exquisitely fine marble pillars. The marble pillars are inlaid with semi-precious stones and coloured flower patterns. The hall is exquisitely decorated with carvings and flat wooden ceiling which used to be covered with gold and silver leaves to imitate the rays of the sun. The hall represents the royal accesses and thus .....
", Heritage,33,4.71,646,2, from Agra Cant
TD-13,Macchi Bhawan - Agra Fort," from Agra Cantonment Railway Station and 2.5 km from Taj Mahal, the Moti Masjid or the Pearl Mosque is situated to the north of Diwan-i-Am complex inside the Agra Fort.Moti Masjid was built by the Mughal Emperor Shah Jahan during 1648-54 AD. It was built as a place of worship for the royal members of the court. A mosque that shines like a pearl in a moonlit night, hence the name Pearl Mosque, Moti Masjid is one of the oldest mosques in the city. The glorious mosque took nearly four years to complete and is built in a style that is typical to Shah Jahan's era of reign.The masjid stands on the ground that slopes from east to west to the north of Diwan-i-Am complex. The structure contains three huge domes of high architecture value. These three Hindu style domed kiosks have been constructed using white marble and the rest of the exterior building made out of red sandstone.  The mosque has twenty-one .....
", Heritage,12,3.37,158,2, from Agra Cant
TD-14,Jama Masjid," from Agra Cantonment Railway Station and 2.5 km from Taj Mahal, Akbari Mahal or Akbar Palace is situated between Jahangiri Mahal and Bengali Burj inside the Agra Fort.Currently in partial ruined state, the Akbari Mahal is a testimony presenting the gigantic imperial courts that have the spacious chambers. Akbari Palace was once a huge palace complex which was used for residential purposes. Built between 1565-69, it had a large stone paved courtyard enclosed on all sides by suites and chambers. Only the river-side apartments have now survived.The Palace was designed and constructed in such a manner that whichever entrance the women used to enter the palace they were protected by purdah. The security and Purdah system was well designed in the palace. There was a great Assembly hall with a high ceiling on the lower storey, which can still be seen but the upper storey is completely in ruins. It also had a hall with triple opening on the riverside. Akbar's .....
", Heritage,12,3.55,354,1, from Agra Cant
TD-15,Mathura," from Agra Cantonment Railway Station and 2.5 km from Taj Mahal, Nagina Masjid is located beside the Diwan-i-Am inside the Agra Fort. It is also known as the Gem Mosque or Jewel Mosque.The Nagina Masjid was built during1631-40 by Shah Jahan for the ladies of the Royal family. This private mosque is constructed with pure white marble. The Masjid bears a very simple architecture and a descent decoration. This private mosque has special features of three majestic domes and wonderful arches.Nagina Masjid is enclosed by walls of three sides with a special a prayer chamber at the west. The mihrab pointing the direction of Holy Kabah is situated on the western wall of the prayer chamber. The prayer chamber is also made up of marble and has three domes on its top. The mosque has a three-arched facade with the cusps and supported on slender piers as its entrance. The arch in the middle is larger and has nine cusps and ones on the either sides have seven cusps .....
", Heritage,5,4.01,680,1, from Agra Cant
TD-16,Vrindavan," from Agra Cantonment Railway Station and 2.5 km from Taj Mahal, the Macchi Bhawan or the Fish Mahal is located opposite to the Diwan-i-Khas in the Agra Fort. Macchi Bhawan is an official complex of double storied structure around a courtyard with arched galleries. Originally the court was adorned with marble tanks and fountains in which gold and silver fish were kept which provided amusement for Emperor. On the upper storey of the southern side, a small marble pavilion with a sun medallion on its ceiling projects outward. It is believed to be the place where the Golden Throne of the emperor was placed to allow him to have the entire view of the court below. The rooms of the lower floor served as the treasury.There was a raised white marble platform on the eastern side and a luxurious multi-chambered royal bath in the north. The southern pavilion served as a small reception room and has an open terrace with a white and a black marble throne. The black .....
", Heritage,22,4.9,224,2, from Agra Cant
TD-17,Mariam-uz-Zamani Tomb," from Agra Cantonment Railway Station and 2.5 km from Taj Mahal, the Macchi Bhawan or the Fish Mahal is located opposite to the Diwan-i-Khas in the Agra Fort. Macchi Bhawan is an official complex of double storied structure around a courtyard with arched galleries. Originally the court was adorned with marble tanks and fountains in which gold and silver fish were kept which provided amusement for Emperor. On the upper storey of the southern side, a small marble pavilion with a sun medallion on its ceiling projects outward. It is believed to be the place where the Golden Throne of the emperor was placed to allow him to have the entire view of the court below. The rooms of the lower floor served as the treasury.There was a raised white marble platform on the eastern side and a luxurious multi-chambered royal bath in the north. The southern pavilion served as a small reception room and has an open terrace with a white and a black marble throne. The black .....
", Heritage,6,4.42,506,2, from Agra Cant
TD-18,Chini Ka Rauza," from Agra Cantonment Railway Station, Jama Masjid is situated just opposite to the Agra Fort. It is also popularly known as the Jami Masjid or Friday Mosque and is one of the well known Agra tourist places. Jama Masjid was built by Emperor Shah Jahan for his favorite daughter Jahanara Begum's wish, at the cost of Rs 5 lakhs and took a period of 5 years in construction and was completed in 1649 AD. It is one of the largest mosques in India. The red sandstone structure was built in a typical Mughal style. It rests on a high plinth and is approached by staircase. It consists of a spacious elevated courtyard bordered by arched porticoes to the north and south, with a fountain at its centre. The eastern end was once also bordered by an arched portico and a grand entrance, but those were demolished by the British in 1857 while building the railway line to Agra.The prayer hall .....
", Heritage,11,4.74,666,2, from Agra Cant
TD-19,Soami Bagh Temple / Radha Soami Samadhi,"from Agra, 159 km from Delhi, 419 km from Lucknow and 224 km from Jaipur, Mathura is an ancient city and also the district headquarters of Mathura in the state of Uttar Pradesh. Mathura is one of the popular tourist places in Uttar Pradesh and also one of the best places to visit near Delhi.Mathura is one of the seven cities (Sapta Puri) considered holy by Hindus, the other six are Ayodhya, Haridwar, Varanasi, Kanchipuram, Ujjain and Dwarka. Mathura has been chosen as one of the heritage cities for HRIDAY - Heritage City Development and Augmentation Yojana scheme of Government of India. Mathura is also one of the popular Delhi weekend getaways for 2 day trip. Mathura is located at the banks of river Yamuna and is popularly known as the Brajbhoomi, the sacred land of Lord Krishna. The Sri Krishna Janmabhoomi temple ..... Distance (From Agra):  56 KmsTrip Duration (From Agra - Including Travel):  1-2 Days.....
", Pilgrimage,22,3.32,667,1, Agra 159
TD-20,Mehtab Bagh,"from Mathura, 70 km from Agra, 155 km from Delhi, 400 km from Lucknow and 235 km from Jaipur, Vrindavan is a holy town situated on the banks of Yamuna River in Mathura district of Uttar Pradesh. It is also among the sacred places to visit near Delhi for a 2 day weekend trip.Vrindavan is a major pilgrimage center for the Hindus and one of the oldest cities in the country. The holy town of Vrindavan has a very rich history associated with the Hindu god Lord Krishna. It is said to be the place where Lord Krishna spent his childhood. Chaitanya Mahaprabhu, a great devotee of Lord Krishna is credited with rediscovering of Vrindavan. The place was later developed by various kings of the region. The name Vrindavan is derived from the words vrinda meaning tulsi (or basil) and van meaning grove and most likely refers to the two small groves at Nidhivan and Seva Kunj. ..... Distance (From Agra):  70 KmsTrip Duration (From Agra - Including Travel):  1-2 Days.....
", Pilgrimage,15,3.7,503,2, Mathura 7
TD-21,Ram Bagh Garden,"from Agra Cantonment Railway Station and 1.5 km from Akbar's Tomb, The Tomb of Mariam-uz-Zamani is the mausoleum of Jodha Bai, the Hindu consort of the Mughal Emperor Akbar, located on the left side of Agra-Mathura road, to the west of Akbar's tomb in Sikandra.The tomb was built by Jahangir in memory of his mother Mariam-uz-Zamani and was located near Akbar's Tomb as per the last wish expressed by her. The structure was originally a baradari under Sikander Lodi who built it in AD 1495. It was later modified into Mughals tomb by reconstructing the 4 facades of the building in Mughal style. The ground floor consists of around forty chambers built by Sikander Lodi, which bear faint traces of paintings on plastered walls. The centre of the ground floor houses the original cenotaph of Jodha. One can visit the crypt using red sandstone stairs. It was constructed with three tomb stones, the original one is in the ground floor, the middle and terrace stones .....
", Heritage,14,4.9,617,1, Agra Canto
TD-22,Taj Museum,"from Agra Cantonment Railway Station and 1.5 km from Akbar's Tomb, The Tomb of Mariam-uz-Zamani is the mausoleum of Jodha Bai, the Hindu consort of the Mughal Emperor Akbar, located on the left side of Agra-Mathura road, to the west of Akbar's tomb in Sikandra.The tomb was built by Jahangir in memory of his mother Mariam-uz-Zamani and was located near Akbar's Tomb as per the last wish expressed by her. The structure was originally a baradari under Sikander Lodi who built it in AD 1495. It was later modified into Mughals tomb by reconstructing the 4 facades of the building in Mughal style. The ground floor consists of around forty chambers built by Sikander Lodi, which bear faint traces of paintings on plastered walls. The centre of the ground floor houses the original cenotaph of Jodha. One can visit the crypt using red sandstone stairs. It was constructed with three tomb stones, the original one is in the ground floor, the middle and terrace stones .....
", Heritage,30,3.13,781,1, Agra Canto
TD-23,Jaswant Singh Ki Chhatri,"rom Agra Cantonment Railway Station and 1 km from Itimad-ud-Daulah Tomb, Chini ka Rauza is a funerary monument located on the banks of the Yamuna River in Agra.Chini ka Rauza is the tomb of Afzal Khan who was a Persian poet during the reign of Jahangir. Later he became the wazir during Shah Jahan's reign. The tomb was built by him in 1635 AD. Khan died in Lahore in 1639 AD and was buried here at Agra. The name is derived from two Persian words Chini and Rauza that means glazed tiles tomb. Also known as Chinese Tomb, Chini-ka-Rauza is considered a milestone in Indo-Persian architecture, as it is the very first building in India that has been exclusively decorated by the glazed tile works. The decoration is prominent on facade and exteriors. Each side of this square tomb building is about 79 feet in length. The central chamber is octagonal in shape with eight arched recesses including four pentagonal arches and four square openings in all four directions. .....
", Heritage,9,4.18,462,2,rom Agra Canton
TD-24,Mankameshwar Temple,"rom Agra Cantonment railway Station, Soami Bagh Temple is situated in Dayalbagh in the outskirts of Agra. The Soami Bagh Samadhi is mainly the mausoleum of Huzur Swamiji Maharaj. The Soami Bagh is also called as Radha Swami Samadhi. He established the Radhaswami Faith. The Radha Soami Satsang Movement was started in 1861 as an effort to amalgamate all the world religions like Hinduism, Christianity, Sikhism and Buddhism and so this building reflects the styles seen in temples, mosques, gurudwaras and viharas.The building is 110 feet in height made of white marbles and features numerous pillars and fine pietradura inlay work on the inner walls. Construction began in February 1904 and has been continuously under construction for the past 100 years. Located adjacent to the mausoleum, there is Bhajan Ghar the place where, Soamiji Maharaj carried out the spiritual practices during his lifetime; the Bhajan Ghar also houses satsang once per day. Bhandara .....
", Pilgrimage,22,3.99,289,2,rom Agra Canton
TD-25,Bateshwar," from Agra Cantonment Railway Station, Mehtab Bagh is a charbagh complex situated north of the Taj Mahal complex and the Agra Fort on the other side of Yamuna River.The Mehtab Bagh garden was the last of eleven Mughal-built gardens along the Yamuna River; the first being Ram Bagh. The emperor Shah Jahan noted this crescent-shaped flood plain covered with grass around the Yamuna River and found it a great location to view the Taj Mahal from some distance. He then conceptualized it as a pleasure garden filled with moonlight and name it Mehtab Bagh during 1631 to 1635.Mehtab Bagh is a 25 acre garden, square in shape, measures about 300 x 300 m and is perfectly aligned with the Taj Mahal on the opposite bank. During the rainy season, the ground becomes partially flooded. The garden has fountains and pools along with several pavilions. Few of the gardens proportions were similar to that of the Taj Mahal. Mehtab Bagh came later in the possession of King of .....
", Heritage,16,4.81,275,2, from Agra Cant
TD-26,"Keoladeo National Park / Bharatpur Bird Sanctuary, Near Fatehpur Sikri","rom Agra Cantonment Railway Station and 3.5 km from Itimad-ud -Daulah, The Ram Bagh Garden is located near Chini ka Rauza in Agra. It is one of the famous places of sightseeing in Agra city.The Ram Bagh is the oldest Mughal Garden in India, originally built by the Mughal Emperor Babur in 1528. Babur was temporarily buried there before being shifted to Kabul. The original name of the bagh was Aram Bagh, which was changed to Ram Bagh under the Marathas, when they occupied Agra from 1775 to 1803 AD. The first historical mention of this garden as the Bagh-Nur-Afshan led some historians to believe that this name had been derived from a garden in Kabul. This garden was renovated by Jahangir between 1615 and 1619.The layout of this garden is based on the Persian style gardens. In the garden three levels have been maintained, one for flowers and vegetables, second for flower beds, with fine stone paved terraces and kiosk and the third one has structures, terraces .....
", Heritage,34,3.82,305,1,rom Agra Canton
TD-27,,"rom Agra Cantonment Railway Station and 3.5 km from Itimad-ud -Daulah, The Ram Bagh Garden is located near Chini ka Rauza in Agra. It is one of the famous places of sightseeing in Agra city.The Ram Bagh is the oldest Mughal Garden in India, originally built by the Mughal Emperor Babur in 1528. Babur was temporarily buried there before being shifted to Kabul. The original name of the bagh was Aram Bagh, which was changed to Ram Bagh under the Marathas, when they occupied Agra from 1775 to 1803 AD. The first historical mention of this garden as the Bagh-Nur-Afshan led some historians to believe that this name had been derived from a garden in Kabul. This garden was renovated by Jahangir between 1615 and 1619.The layout of this garden is based on the Persian style gardens. In the garden three levels have been maintained, one for flowers and vegetables, second for flower beds, with fine stone paved terraces and kiosk and the third one has structures, terraces .....
", Heritage,33,3.46,293,1,rom Agra Canton
TD-1,Radhanagar Beach - Havelock Island,"from Port Blair Central Bus Stand (road + ferry) and 11 km from Havelock Ferry Ghat, Radhanagar Beach, also known as Beach #7, is situated on the south coast of Havelock Island and is the most famous Andaman Beach. Radhanagar Beach is counted among the top 10 beautiful beaches of Asia and among best beaches in the world by Time Magazine.The most visited place in Andamans, Radhanagar is a long white sandy beach that sprawls across 2 km length and an average width of 30 to 40 m. Known for its picturesque sunset, white sand and turquoise blue waters, the beach is a very popular hub lying on the western coast of Havelock Island. The sand is white and very fine in grain. The lush and verdant trees on the side of beach offer tourists an opportunity to unwind and relish the serenity and nature's charm. The breathtaking sight of sunset on this beach makes the tourists forget all the woes of life.Due to its reputation and popularity one would expect large crowd .....
", Beach,23,4.21,1304,2, Port Blair
TD-2,Elephant Beach - Havelock Island,"from Port Blair Central Bus Stand (road + ferry) and 11 km from Havelock Ferry Ghat, Radhanagar Beach, also known as Beach #7, is situated on the south coast of Havelock Island and is the most famous Andaman Beach. Radhanagar Beach is counted among the top 10 beautiful beaches of Asia and among best beaches in the world by Time Magazine.The most visited place in Andamans, Radhanagar is a long white sandy beach that sprawls across 2 km length and an average width of 30 to 40 m. Known for its picturesque sunset, white sand and turquoise blue waters, the beach is a very popular hub lying on the western coast of Havelock Island. The sand is white and very fine in grain. The lush and verdant trees on the side of beach offer tourists an opportunity to unwind and relish the serenity and nature's charm. The breathtaking sight of sunset on this beach makes the tourists forget all the woes of life.Due to its reputation and popularity one would expect large crowd .....
", Beach,20,4.31,952,1, Port Blair
TD-3,Cellular Jail - Port Blair,"from Port Blair Central Bus Stand (road + ferry) and 10 km from Havelock Ferry Ghat, Elephant Beach is the most secluded beach and also one of the most popular beaches in Havelock Island for day trips. This is one of most popular places of Andaman Tourism.Elephant Beach is an ideal site for snorkeling. It has a rich coral reef formation and amazing underwater marine life. The corals here remain one of the best on the island with the reef being close to the shore, making this an excellent spot for snorkeling. The beach is also famous for water sports activities like jetski, scuba diving and underwater sea walk. Glass bottom boats are available to watch the coral reefs through these boats. The shoreline of the Elephant Beach was largely swept by the 2004 Tsunami. One can reach Elephant Beach by small cruise boat from Havelock Jetty in about 30 minutes. By road one can go up to the Forest Camp which is 8 km from the Jetty towards Radhanagar Beach and from .....
", Adventure,26,3.44,717,1, Port Blair
TD-4,Mahatma Gandhi Marine National Park," from Port Blair Central Bus Stand, the Cellular Jail, also known as Kala Pani, was a colonial prison located at Port Blair in the Andaman & Nicobar Islands. The prison was known to house many notable Indian activists during the struggle for India's independence. Today, the complex serves as a national memorial monument and also one of the top places to visit in Port Blair.The construction of the Cellular Jail was started by the British in 1896 and was completed in 1906. The penal settlement was established in Andamans by the British after the First War of Independence in 1857. It was the beginning of the agonizing story of freedom fighters in the massive and awful jails at Viper Island followed by the Cellular Jail. The prison was used by the British especially to exile political prisoners to the remote archipelago. Many notable freedom fighters such as Batukeshwar Dutt, Bhagat Singh and Veer Savarkar, among others, were imprisoned here during the struggle .....
", Heritage,26,4.0,1324,2, from Port Blai
TD-5,Chidiya Tapu - Port Blair,"from Port Blair, Mahatma Gandhi Marine National Park, also known as Wandoor National Park, is a national park located near Wandoor in South Andaman district of Andaman & Nicobar Islands. This is one of the best places to visit in Andaman Tour and also one of the famous tourist places near Port Blair.The National Park was established in the year 1983 under the Wildlife Protection Act of 1972 to protect marine life such as the corals and nesting sea turtles prevalent in the area. Sprawling over an area of 281 sq. km, the landscape of the park is dotted with 15 rocky islands and is covered with tropical forest.The national park is famous for its rich collection of coral reefs, which include leptoseris, tubipora, gorgonians, porites, acropora, fungia, pocillopora and montipora. The marine life of this national park includes starfish, sharks, coral reefs, fishes and turtles. In addition, it also comprises sea anemones, shells, salt water crocodiles and .....
", Beach,23,3.15,987,2, Port Blair
TD-6,Ross Island - Port Blair,"from Port Blair Central Bus Stand, Chidiya Tapu, also known as 'Bird Island', is the southernmost tip of South Andaman Island. This is one of the top places to visit in Andaman & Nicobar Islands.Chidiya Tapu is a small village with lush green mangroves and tranquil islands. It is famous for bird watching, sunset view, panoramic scenic beauties, and many colours of oceanic view. The area is filled with around 46 species of birds namely, drongos, hanging parrot, scarlet minivet, emerald dove, long-tailed and red-breasted parakeets, white-bellied sea eagles and grey-fronted and imperial green pigeons to name a few. Popularly known as Sunset Point, Chidiya Tapu is one of the best places to see the sunset in Port Blair, the main hub of the Andaman Islands. The main attractions here include the Chidiya Tapu Biological Park, Chidiya Tapu Beach, the Sylvan Sands and the Munda Pahad beaches. There is also a forest guest house at the top of the hillock that provides .....
", Beach,11,3.38,1496,2, Port Blair
